Name,Price,Seller Name,Seller Location,Seller Phone,Item,Brand,Condition,Laptop Type,Processor Type,Processor Speed,Screen Size,RAM,Hard Disk,Disk Type,Graphics Card,Networking,Webcam,Card Reader,Battery,Keyboard,Software,Dimensions (W x D x H),Product Weight (Kg),Series,Chipset,Audio/Speaker,Optical Drive,Model,Extra Slot,Ports,Other Features
Lenovo ThinkPad T480s Core i7 8th Gen 8GB RAM Laptop,"৳ 30,500",Bangladesh Laptop Gallery,ElephantRoad,01687321007,Used Laptop,Lenovo,Used,Standard,Intel Core i7-8260U 8th Gen,1.6GHz Base Frequency / Up to 3.4GHz with Intel Turbo Boost Technology / 6MB Cache / 4 Cores,"14"" Full HD LED Backlit Anti-Glare IPS",8GB DDR4,256GB,SSD,Built-in Graphics Card,"Intel Dual Band Wireless-AC, Bluetooth V4.2",HD Webcam with Think Shutter,"4-in-1 SD card reader, SD, MMC, SDHC, SDXC",3-Cell Li-ion,Standard,Windows,"13.25 x 9.15 x .078""",1.58 Kg,Lenovo Thinkpad,,Dolby Audio Premium,N/A,,,,
Dell XPS 13 9380 Core i7 8th Gen 16GB RAM Touch Laptop,"৳ 48,000",Bangladesh Laptop Gallery,ElephantRoad,01687321007,Used Laptop,Dell,Used,Standard,Intel Core i7 8th Generation,"8 MB Cache, 4 Core, Up to 4.60 GHz",13.3-Inch Infinity Edge 4K Touch Display,16 GB DDR4,256 GB M.2 NVME SSD,SSD + HDD,8 GB Intel Graphics,"Wi-Fi 802.11ac, Bluetooth 4.1",HD Webcam,2.1 MicroSD Card Reader,Long Time Battery Backup,,Windows,,1.23 kg,Dell XPS,Intel,Stereo Speakers with Waves Maxx Audio Pro 1 W x 2 = 2 W Total,,✅ XPS 13 9380,,,302 x 199 x 7.8 mm
Dell Precision 5530 Core i9 8th Gen Business Laptop,"৳ 55,000",Liberal IT,ElephantRoad,01793466420,Used Laptop,Dell,Used,Standard,Intel Core i9-8950HK 8th Gen,"12M Cache, up to 4.80 GHz",15.6 inch FHD Wide View Anti-Glare LED-Backlit,32GB DDR4,512GB NVMe,SSD,Intel HD Graphics,"Intel Dual Band Wireless AC 8265 802.11ac 2 x 2, Bluetooth 4.2",HD Camera,Yes,56 WHr lithium-ion 3 cell,"Sealed, spill-resistant",Windows 10 Pro,1‎5.62 x 2.59 x 0.86 inch,2.04 Kg,Others,Intel H110,"High-Quality Speaker, Dual-array microphone",N/A,,,,
Dell Latitude 5500 Core i5 8th Gen Laptop,"৳ 26,000",Rons Tech BD,ElephantRoad,01814948569,Used Laptop,Dell,Used,Standard,Intel Core i5-8665U 8th Gen,"1.9 GHz to 4.8 GHz, 8 MB Cache, 4 core count/8 threads, 15 W TDP, vPro","15.6"" IPS Full HD anti-glare",8GB DDR4 2666 MHz,256GB PCIe NVMe M.2,SSD,Intel UHD Graphics 620,"Wi-Fi, 9560 802.11a/b/g/n/ac, Bluetooth V5.0, non-vPro",720p HD camera,Yes,Lithium Ion batteries,Standard,Windows 10 Pro / 11 pro,32.6 x 23.43 x 17.9 cm,1.48 Kg,Dell Latitude,Intel,Audio by Bang & Olufsen 2 Integrated stereo speakers Integrated 3 Multi-array Microphone,,,,"Type-C, Micro USB, HDMI, VGA",
"Dell XPS 9370 Core i5 8th Gen 16GB RAM 13.3"" FHD Laptop","৳ 40,000",Bangladesh Laptop Gallery,ElephantRoad,01687321007,Used Laptop,Dell,Used,Standard,Intel Core i5-8250U 8th gen processor,1.6GHz up to 3.4GHz Frequency Speed,13.3'' FHD Infinity Edge display,16GB DDR4,256GB M.2 NVME,SSD,4GB Intel UHD Graphics 620,"802.11ac 2 x 2 a, Bluetooth",HD 720p camera,MicroSD,"4-Cell, 52WHr, Integrated battery and up to 6 hours backup",Backlit keyboard,Windows,11.6 x 302 x 199mm,2.67Kg,Dell XPS,Integrated with Processor,1W x 2 = 2W total 4 digital array microphone,,,,"Type-C, Headphone jack, Display port",
HP ZBook 15U G5 Core i7 8th Gen 16GB RAM Workstation,"৳ 46,999",Khan Gadget,ElephantRoad,01974122755,Used Laptop,HP,Used,Standard,Intel Core i7-8650U 8th Gen,"8M Cache, up to 4.20 GHz","15.6"" Full HD Screen Display",16GB DDR4,512GB NVME,SSD,Intel Ultra HD 620 8GB with Radeon Pro WX 3100 2GB GDDR5,"Intel Dual Band Wireless-AC 9560 802.11ac (2x2) Wi-Fi and Bluetooth 5 Combo, Pro",720p HD webcam,Smart card reader,HP Long Life 3-Cell 56 Wh Li-ion polymer,Full-Size Island-Style Backlit Keyboard with Numeric Keypad,Windows,37.08 x 25.1 x 1.86cm,1.77 Kg,HP ZBook,,Dual Stereo Speakers,,,,,
Lenovo ThinkPad T460S Core i5 6th Gen Touch Laptop,"৳ 21,000",Message Technology,ElephantRoad,01790003009,Used Laptop,Lenovo,Used,Standard,Intel Core i5-6200U 6th Gen Processor,"3MB Cache, up to 2.80GHz","14.0"" Ultra HD Touch Display",8GB DDR4-2133 MHz,256GB SSD,SSD,Intel HD Graphics 520,"Gigabit LAN, Wi-Fi, Bluetooth",720p HD Camera,4-in-1 Card Reader,4-5 Hours Battery Backup,,Windows,,1.3Kg,Lenovo Thinkpad,,Dolby Home Theater,,,,,
"HP ProBook x360 440 G1 Core i3 8th Gen 14"" Touch Screen","৳ 23,500",AL- Madina Gadget Shop,Kamalapur,01628222134,Used Laptop,HP,Used,Standard,Intel Core i3 8th Gen,"1.6 GHz, Up to 3.4 GHz","14"" LED FHD Touch Display",8 GB,256 GB,SSD,4 GB Share Graphic,"Intel Dual band Wireless-AC 8265 802.11a/b/g/n/ac, Bluetooth V4.2 Combo",720p HD Camera,Yes,3-Cell 48 Whr,"HP Premium, Full-Sized Chiclet, Backlit, Full-Sized",Windows 10,12.99 x 9.13 x .78 inch,1.3 Kg,HP Probook,Intel Chipset,Stereo speakers with waves MaxxAudio,No,,,,H
HP Elitebook 850 G5 Core i7 8th Gen 16GB RAM Laptop,"৳ 43,000",Baraka IT,ElephantRoad,01933301456,Used Laptop,HP,Used,Standard,Intel Core i7 8th Gen,"Up to 4.0Ghz, 8MB Cache & 4 Cores","15.6"" FHD IPS",16GB DDR4,512GB M.2,SSD,Intel HD Graphics 620,Wi-Fi 802.11a/ b/ g/ n/ ac & Bluetooth 4.2,5MP HD,Smart,Up to 8 hours backup,Spill-resistant with drain & Backlit,Windows,37.08 x 25.17 x 1.83 cm,,HP EliteBook,Intel,Integrated Stereo,,,,HDMI / USB / RJ-45,
HP EliteBook Folio 9480m Core i5 4GB RAM Laptop,"৳ 14,990",AL- Madina Gadget Shop,Kamalapur,01628222134,Used Laptop,HP,Used,Standard,Intel Core i5-4310U 4th Generation,"Base Frequency 2.40 GHz Up to 3.40GHz, 3MB Cache","14.6"" 4K Supported Ultra HD Display",4GB DDR3,"500GB HDD, 7200 RPM",HDD,Intel HD Graphics 4400,"LAN, USB, Wi-Fi",HD Webcam,,4 Hours Backup,,,,1.61 Kg,HP EliteBook,Intel Chipset,Integrated Stereo Speakers,,,,,Finger Print Security
HP EliteBook 840 G3 Touchscreen Core i5 6th Gen Laptop,"৳ 23,000",Zamans Laptop,Mohammadpur,01752986720,Used Laptop,HP,Used,Standard,Intel Core i5 6th gen,"2.3GHz Turbo Boost Up to 2.8GHz, 3MB Cache","14"" Touchscreen Display",8GB DDR4,256GB,SSD,Intel HD Graphics 520,"Gigabit LAN, Wi-Fi, Bluetooth, VGA, HDMI, USB2.0",Full HD,Yes,HP 3-Cell Long Life Li-Ion 44WHr,,,,1.5Kg,HP EliteBook,Intel H110,B & O Play with 2 Speaker,N/A,,,,Backlit Keyboard and Finger Print Security
HP EliteBook 840 G2 Core i5 5th Gen 8GB RAM,"৳ 17,999",Laptop Land Bd,ElephantRoad,01897496011,Used Laptop,HP,Used,Standard,Intel Core i5-5200U 5th Gen,"Base Frequency 2.5 GHz Up To 3.1 GHz, 3 MB Cache, 2 Cores",‎14 Inch Display,8GB DDR4,256GB,SSD,4GB Intel HD Graphics,"Intel 802.11a/b/g/n/ac Wi-Fi and Bluetooth 4.2 Combo, Integrated 10/100/1000 GbE LAN",Yes,Yes,3 Cell Li-ion Battery,Backlit,Windows,340 x 236 x 21 mm,1.48 Kg,HP EliteBook,,HD Audio with DTS Studio Sound,,,,"USB3.0 , VGA Port, Headphone Jack, Microphone Jack",
HP Elite X2 1012 G2 Core i5 7th Gen 8GB RAM Tablet,"৳ 29,000",JM Computer Fair,ElephantRoad,01320583910,Used Laptop,HP,Used,Standard,Intel Core i5-7200U 7th Generation,"Up to 3.1 GHz, 3 MB Cache, 2-Cores","12.6"" 3K Display",8GB,128GB,SSD,Intel HD Graphics 620,Wi-Fi & Bluetooth 4.2,720p HD Camera,Yes,Up to 4 hours of Local Video Playback,Standard,Windows 10,299.72 x 213.36 x 7.62 mm,1156.7 g,Others,,Dual Speakers,,,,,
Apple Macbook 15.4'' Core2 Duo 8GB RAM,"৳ 40,000",Sharif Rahman,,01819193929,Used Laptop,Apple,Used,Macbook,Intel Core 2 Duo,2.4 GHz,15.4 Inch,8GB,128GB,SSD,256MB,,i-sight Webcam,,Built-in 10-hour Battery,,,,,Others,,,8X Double Layer Superdrive,,,,
HP EliteBook 840 G4 Core i5 7th Gen Laptop,"৳ 22,500",Fast Laptop,ElephantRoad,01615778848,Used Laptop,HP,Used,Standard,Intel Core i5-7600U 7th Generation,"Base Frequency 2.8 GHz, up to 3.9 GHz",14 inch Diagonal FHD SVA Anti-Glare Slim LED-backlit Non-Touch,8GB DDR4 2400Bus,256GB M.2,SSD,,Intel Dual Band Wireless-AC 8265 802.11 a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 4.2 combo,720p HD Webcam,,"HP Long Life 3-cell, 51 WHr Li-ion Polymer",Standard,Windows,33.8 x 23.7 x 1.89 cm,1.48Kg,HP EliteBook,Integrated with Processor,Premium Stereo Speakers,,✅ 840 G4,,"USB 3.1 Gen, VGA Port,  RJ-45 Ethernet Port",
HP EliteBook 840 G3 Core i5 6th Gen 8GB RAM Laptop,"৳ 18,800",Bangladesh Laptop Gallery,ElephantRoad,01687321007,Used Laptop,HP,Used,Standard,Intel Core i5-6200U 6th Gen,"2.3GHz Turbo Boost Up to 2.8GHz, 3MB Cache","14"" Diagonal LED-Backlit FHD Anti-Glare",8GB DDR4,256GB,SSD,Intel HD Graphics 520,"Gigabit LAN, Wi-Fi, Bluetooth, VGA, HDMI, USB2.0",HD,Yes,HP 3-Cell Long Life Li-Ion 44 WHr,,,,1.5 Kg,HP EliteBook,Intel H110,B&O Play with 2 Speaker,,✅ 840 G3,,,Backlit Keyboard and Finger Print Security
HP ProBook 445 G7 Ryzen 5 4500U 256GB SSD Laptop,"৳ 31,500",Laptop Core Technology,Mirpur,01836583433,Used Laptop,HP,Used,Gaming,AMD Ryzen 5 4500U,"2.3 GHz base clock, up to 4.0 GHz max boost clock, 8 MB L3 cache, 6 cores","14.0 inch diagonal HD SVA eDP anti-glare LED-backlit slim, 220 cd/m², 45% NTSC",8GB DDR4,256GB PCIe NVMe M.2,SSD,AMD Radeon Graphics,"Intel Dual Band Wireless-AC 9260 802.11ac (2 x 2) Wi-Fi and Bluetooth 5 Combo, non-vPro",720p HD Camera,Yes,"HP Long Life 3-cell, 45 Wh Li-ion",Spill-resistant with optional backlit function,Windows 10,32.41 x 23.77 x 1.80 cm,Starting at 1.6 Kg,HP Probook,Integrated with processor,2W / 4 ohm per speaker,No,,,,
Lenovo ThinkPad T14s Core i5 10th Gen 16GB RAM Laptop,"৳ 37,999",TWO STAR LAPTOP,ElephantRoad,01723574892,Used Laptop,Lenovo,Used,Standard,Core i5 10th Gen,"2.40 GHz Up to 4.20 GHz with Turbo Boost, 8 MB Cache","14"" FHD 180 Degrees Roted",16GB DDR4,256 M.2 NVME,SSD,Intel UHD 8 GB,"Intel Wi-Fi 6 AX201 2x2ax, Bluetooth Version 5.0",HD Webcam,Multi Card Reader,4 Cell,Backlit,Windows,12.95 x 8.94 x 0.70 inch,1.3 Kg,Lenovo Thinkpad,Intel SoC (System on Chip) Platform,"Stereo, Dolby Audio",,,,,
HP EliteBook 845 G8 AMD Ryzen 7 Pro 5850U 512GB SSD,"৳ 48,000",Laptop Land Bd,ElephantRoad,01897496011,Used Laptop,HP,Used,Standard,AMD Ryzen 7 Pro 5850U,1.9GHz base frequency & 8 GPU cores,"14.0"" Full HD IPS",16GB DDR4,512GB SSD,SSD,8GB Integrated & 512MB Dedicated graphics,Intel Wi-Fi 6 AX200 2 x 2 & Bluetooth 5,720p HD camera,Yes,"3-cell, polymer",Backlit,Windows,30.78 x 20.46 x 1.79cm,1.37Kg,HP EliteBook,Integrated with processor,"Integrated stereo speaker, Audio by Bang & Olufsen",,,,,
HP Elitebook 840 G8 Core i5 11th Gen Laptop,"৳ 44,999",AB Computer Information,ElephantRoad,01684411501,Used Laptop,HP,Used,Standard,Intel Core i5 11th Generation,"2.4 GHz Base frequency, up to 4.2 GHz, 8MB cache","14"" diagonal FHD display",16GB DDR4,256GB NVMe,SSD,Intel Iris Xe Graphics,"Intel AX201 Wi-Fi 6 (2 x 2) & Bluetooth V5 Combo, non-vPro",HD Webcam (1920 x 1080p),,4 hours,Led keyboard lite,Windows,12.73 x 8.44 x 0.7 inch,1.35 Kg,HP EliteBook,Integrated with processor,Audio by Bang & Olufsen / dual stereo speakers / 3 multi array microphones,,,,,
Microsoft Surface Laptop 3 10th Gen Core i5 8GB RAM,"৳ 39,500",Technosoft Integration,Mohammadpur,01324728425,Used Laptop,Microsoft,Used,Standard,Intel Core i5-1035G7 10th Generation,"1.6 GHz Base Frequency Up to 3.4 GHz with Intel Turbo Boost Technology, 6 MB Cache, 4 Cores","13.5"" PixelSense Touchscreen Display",8GB DDR4,256GB,SSD,Intel HD Graphics 620,Wi-Fi 6: 802.11ax compatible,720p HD Camera,Yes,Up to 4 hours of Local Video Playback,Keyboard Back-lit,Windows 10,308 x 223 x 14.5 mm,1.18 Kg,Others,,Dual far-field Studio Mics Omnisonic Speakers with Dolby Audio,,,,,
Lenovo ThinkPad X1 Carbon Core i5 8th Gen Laptop,"৳ 31,000",Trade One,ElephantRoad,01404007312,Used Laptop,Lenovo,Used,Standard,Intel Core i5 8th Gen,"1.70 GHz Up to 3.60 GHz, 6 MB Intel Smart Cache","14"" FHD IPS Nero Border Display",8GB DDR4,256GB M.2,SSD,Intel HD Graphics,802.11 a/b/g/n/ac & Bluetooth 4.1,HD Webcam,SD Card Reader,3 Cells Polymer Battery,,Windows,,,Lenovo Thinkpad,,Dual Array Digital Microphone Dolby Audio X2 HD Audio Solution Stereo Speakers,,,,,
HP EliteBook 840 G9 Core i7 12th Gen 16GB RAM,"৳ 59,500",ABC COMPUTER TECH,Uttara,01616000112,Used Laptop,HP,Used,Standard,Intel Core i7 12th Gen,"up to 4.70 GHz, 18M Cache","14"" diagonal, WUXGA, IPS, anti-glare, 250 nits",16GB DDR4 4800 MHz,512GB PCIe  NVMe,SSD,Intel Iris X Graphics,Intel Wi-Fi 6E AX211 (2 x 2) and Bluetooth 5.3 wireless card,5 MP camera,,"HP Long Life 3-cell, 51 Wh Li-ion","Spill-resistant, DuraKeys, Optional backlight and Privacy key",Windows,31.56 x 22.4 x 1.92 cm,Starting at 1.36 Kg,HP EliteBook,,"Audio by Bang & Olufsen, dual stereo speakers, dual array world-facing microphones",N/A,,Up to 64 GB RAM Supported,,
Dell Latitude 7490 Core i5 8th Gen Laptop,"৳ 23,500",ZOOM COMPUTERS,Mirpur,01798303030,Used Laptop,Dell,Used,Standard,Core i5-8250U 8th Gen,"1.60 GHz Base Frequency, 6 MB Cache",14 Inch FHD LED,8GB DDR4 2400MHz,256GB,SSD,Intel UHD Graphics 620,"LAN, Wi-Fi, Bluetooth",720P Camera,Yes,4-Cell Battery,,,,1.4 Kg,Dell Latitude,,Dual Speaker,,,,,
HP EliteBook 845 G9 Ryzen 5 Pro 6650U Business Laptop,"৳ 56,000",Laptop Land Bd,ElephantRoad,01897496011,Used Laptop,HP,Used,Standard,AMD Ryzen 5 Pro 6650U,"up to 4.5 GHz max boost clock, 16 MB L3 Cache, 6 Cores, 12 threads","14"" Diagonal, WUXGA, IPS, anti-glare, 250 nits, 45% NTSC",16 GB DDR5 4800MHz,512GB NVMe,SSD,AMD Radeon 660M Graphics,Realtek Wi-Fi 6 RTL8852BE 2 x 2 and Bluetooth V5.3 Wireless Card,5MP IR camera,,"HP Long Life 3-cell, 51 Wh Li-ion","HP Premium Keyboard – spill resistant, backlit keyboard",Windows,31.56 x 22.4 x 1.92 cm,1.4 Kg,HP EliteBook,,"Bang & Olufsen, Dual Stereo Speaker, dual array world-facing microphones",,,,,
HP EliteBook 845 G10 Ryzen 5 Pro 7545U Laptop,"৳ 70,000",Laptop Land Bd,ElephantRoad,01897496011,Used Laptop,HP,Used,Standard,AMD Ryzen 5 Pro 7545U,"3.5GHz base clock, up to 4.9GHz boost clock, 16 MB L3 cache, 6 cores, and 12 threads","14"" diagonal WUXGA LED UWVA Anti-Glare, 250 Nits",16GB DDR5-5200 RAM (1 x 16 GB),512GB PCIe 3.0 x4 NVMe Value,SSD,AMD Radeon Graphics,"Mediatek RZ616 Wi-Fi 6E AIM-T 160 MHz, Bluetooth V5.3",Dual Array Microphone 5 MP Camera,1 multi-format SD media card reader,"38Whr, 3 Cell",Clickpad Spill-resistant Premium,Windows 11 pro,12.42 x 8.82 x 0.76 inch,1.33 Kg,HP EliteBook,AMD Ryzen,"Bang & Olufsen, Dual Stereo Speakers, dual array microphones",N/A,,,,
HP EliteBook 840 G7 Core i7 10th Gen Laptop,"৳ 48,500",Next Future It,Uttara,01920677960,Used Laptop,HP,Used,Standard,Intel Core i7-10610U 10th Generation,"8M Cache, up to 4.90 GHz","14"" Full HD",16GB DDR4 2667MHz,512 NVMe M.2,SSD,Intel UHD Graphics 8GB,"Intel Wi-Fi 6 AX201 (2 x 2) and Bluetooth 5 combo, vPro",720p HD,Yes,"3-Cell Li-Ion, 53Wh",Backlit,Windows,323.6 x 214.7 x 17.9  mm,1.33 Kg,HP EliteBook,Intel Chipset,"Bang & Olufsen, Dual Stereo Speakers, 3 multi array microphone",NA,,RAM Extra Slot,,
HP EliteBook 840 G8 Core i5 11th Gen 16GB RAM,"৳ 45,500",ABC COMPUTER TECH,Uttara,01616000112,Used Laptop,HP,Used,Standard,Intel Core i5 11th Generation,"4.40GHz Turbo Boost Speed, 8MB Cache, Core 4","14"" diagonal FHD display",16GB DDR4,512GB NVME SSD,SSD,Intel Iris Xe 8GB Graphics,"Intel AX201 Wi-Fi 6 (2 x 2) & Bluetooth V5 Combo, non-vPro",HD Webcam (1920 x 1080p),Active SmartCard,3-Cell 53 WHr Long Life Battery,Dual Point spill-resistant Premium Keyboard,Windows,12.73 x 8.44 x 0.7 inches,1.4Kg,HP EliteBook,,Audio by Bang & Olufsen / dual stereo speakers / 3 multi array microphone,N/A,✅ EliteBook 840 G8,Up To 64GB,,
"Dell Latitude 7400 Core i7 8th Gen 14"" 8GB RAM","৳ 31,000",Technosoft Integration,Mohammadpur,01324728425,Used Laptop,Dell,Used,Standard,Intel Core i7-8665U 8th Generation,"Maximum Turbo Frequency 4.80 GHz, 8 MB Cache","14"" 16:9 FHD WVA, Antireflective and Anti-Smudge",8GB DDR4,256GB PCIe NVMe,SSD,Intel UHD Graphics 620,"Intel Dual Band Wireless AC 9560 (802.11ac) 2x2, Bluetooth 5.0",IR Camera,,"6-Cell, 78 WHr Polymer","Full Sized, Optional",Windows,12.59 x 7.87 x 0.34-0.59 inch,1.36 Kg,Dell Latitude,,High Quality Speaker,,,,,
HP EliteBook 845 G7 Ryzen 5 Pro 4650U 256GB SSD,"৳ 36,000",Access Electronics,ElephantRoad,01613388994,Used Laptop,HP,Used,Standard,AMD Ryzen 5 Pro 4650U,"6 Cores, 12 Threads, 8MB Cache, Max. Boost Clock Up to 4.0GHz","14"" IPS 1920 x 1080p",16GB DDR4,256GB NVMe,SSD,AMD Radeon 8GB,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, Bluetooth, IEEE 802.11g, NFC, IEEE 802.11ax (Wi-Fi 6), IEEE 802.11n",720p HD Camera,Yes,"3 Cell, Li-ion Type, 53 Wh",Backlit,Default OS,12.95 x 8.94 x 0.70 inches,1.55 Kg,HP EliteBook,Integrated with processor,Dolby Advanced Audio Speakers,,,,,
Lenovo ThinkPad X1 Carbon Core i5 10th Gen Laptop,"৳ 56,000",Proven Computer,ElephantRoad,01721210243,Used Laptop,Lenovo,Used,Standard,Standard,Intel Core i5-10210U 10th Generation,"14"" 4k Display",16GB DDR4,512GB NVMe,SSD,Integrated UHD Graphics,"802.11 b/g/n/ax Wireless LAN, Bluetooth Version 5",HD 720p with ThinkShutter Privacy Cover,SD Card Reader,"4-Cell, Li-Ion Type",Backlit-US English,Windows,"12.71 x 8.54 x 0.58""",1.08 Kg,Lenovo Thinkpad,"Base Frequency 1.60 GHz, Max Turbo Frequency 4.20 GHz","Dolby Atmos Speaker System, 4 x 360-degree far-field microphones",SSD,,,"2 x USB 3.1 Gen 1, 2 x USB 3.1 Type-C Gen 2, 1 x HDMI 1.4b",
HP EliteBook Folio 9470m i5 3rd Gen Business Laptop,"৳ 14,000",ZOOM COMPUTERS,Mirpur,01798303030,Used Laptop,HP,Used,Standard,Intel Core i5-3337U 3rd Generation Processor,"Base Frequency 1.8 GHz, 3MB Cache",14-inch Bright View LED Screen Display,4GB,128,SSD,Intel HD Graphics 4000,"1Mbps Gigabit Ethernet, LAN, USB, Bluetooth, Wi-Fi",2.0 MP HD Webcam,Realtek Multi Card Reader,6-cell Lithium-ion Battery,Spill-resistant backlit keyboard and drain,Windows,13.3 x 9.09 x 0.75 inch,2.0 Kg,HP EliteBook,Intel HM77 Express Chipset,Altec Lansing Internal Speakers,,,,,
HP ProBook 6470b i5 3rd Gen 500GB HDD Laptop,"৳ 11,000",ZOOM COMPUTERS,Mirpur,01798303030,Used Laptop,HP,Used,Standard,Intel Core i5 3rd Generation,"Base Frequency 2.5 GHz, Up to 2.9 GHz","14"" HD TFT",4GB DDR3,500GB SATA,HDD,Intel GMA 4500MHD,"802.11a/b/g/n/ac, Bluetooth 5.0",1MP HD Camera,SD Card Reader,3 Cell,,Standard,,2.3 Kg,HP Probook,Intel QM87 Express,Stereo Speakers & Microphone,HP Optical DVD R/W,,,,
Microsoft Surface Laptop 3 Core i7 10th Gen 256GB SSD,"৳ 56,000",Min Technology,Mirpur,01729902524,Used Laptop,Microsoft,Used,Standard,Intel Core i7-1065G7 10th Generation,"1.30 GHz up to 3.90 GHz, 8MB Cache","13.3"" UHD Touch Screen Display",16GB DDR4 4267MHz,256GB,SSD,Intel Iris Plus GPU 8GB,"Wi-Fi 6 (802.11ax), Bluetooth V5",720p HD Camera,,,Backlight,Windows 10 Pro / 11 Pro,30.73 x 22.35 x 1.45 cm,1.29 kg,Others,,"Built-In Speaker, Studio Mics",N/A,,,,
Lenovo ThinkPad X1 Yoga Core i5 8th Gen Touchscreen,"৳ 34,000",Bangladesh Laptop Gallery,ElephantRoad,01687321007,Used Laptop,Lenovo,Used,Gaming,Intel Core i5-8265U 8th Gen,Base Frequency 1.6GHz up to 1.8GHz,"14"" Full HD  360 Degree Touchscreen Display",8GB DDR4,256GB M.2,SSD,Intel UHD 620,"WiFi 6E AX211 802.11AX, Bluetooth V5.1",FHD RGB with webcam privacy shutter,SD Card Reader,4 Cell,Standard,Windows,15.53 x 314.4 x 222.3mm,1.2 Kg,Lenovo Thinkpad,Intel Chipset,"Dolby Atmos, Stereo Speakers",,,,,
HP ZBook 14U G6 Core i7 8th Gen with 4GB Dedicated,"৳ 46,999",Khan Gadget,ElephantRoad,01974122755,Used Laptop,HP,Used,Gaming,Core i7-8565U 8th Generation,"Base Frequency 1.80 GHz, Max Turbo Frequency 4.60 GHz, 8MB Cache","14 inch diagonal UHD IPS eDP + PSR anti-glare, 100% sRGB at 400 nits with ambient light sensor",16GB DDR4 2400MHz,512GB NVMe,SSD,Intel Ultra HD-8GB Graphics with Radeon Pro WX3200 4GB Dedicated,"Intel Dual Band Wireless-AC 9560 802.11ac 2 x 2 Wi-Fi and Bluetooth 5 Combo, vPro",720p HD Webcam,Integrated Smart Card Reader,2-Cell Li-Ion,LED Backlit,Default OS,326.0 x 234.3 x 17.9 mm,1.48 Kg,HP ZBook,Integrated with processor,"Bang & Olufsen Audio, Duel Stereo Speaker",,,,,
HP ZBook 15U G6 Core i7 8th Gen 16GB RAM 512GB SSD,"৳ 52,000",Min Technology,Mirpur,01729902524,Used Laptop,HP,Used,Standard,Intel Core i7-8650U 8th Gen,"8M Cache, up to 4.20GHz","15.6"" Full HD Screen Display",16GB DDR4,512GB M.2,SSD,Built-in 8GB + Dedicated 4GB,"Wi-Fi 6, Bluetooth, LAN",720p HD Webcam,Integrated smart card reader,56Wh,Light,Windows 10,37.08 x 25.1 x 1.86cm,1.77Kg,Others,Intel,Dual Stereo Speakers,,,SSD & Ram Upgrade,,
Microsoft Surface Laptop 2 Core i5 8th Gen,"৳ 35,999",Khan Gadget,ElephantRoad,01974122755,Used Laptop,Microsoft,Used,Standard,Intel Core i5 8th Generation,Maximum Turbo Frequency3.90 GHz,"13.5"" PixelSense Touch Display",8GB LPDDR3 1866MHz,256GB,HDD,Intel UHD Graphics 620 4GB,"Wi-Fi: IEEE 802.11 a/b/g/n/ac Compatible, Bluetooth V4.1",720p HD Camera,,Up to 6.5 hours of Local Video Playback,,Windows,,,Others,,Omnisonic Speakers with Dolby Audio,,✅ Surface 2,,,Ambient Light Sensor
"Lenovo ThinkPad T480s Core i5 8th Gen 14"" Touch Laptop","৳ 26,000",Rons Tech BD,ElephantRoad,01814948569,Used Laptop,Lenovo,Used,Standard,Intel Core i5-8260U 8th Generation,"1.6 GHz Base Frequency Up to 3.4 GHz with Intel Turbo Boost Technology, 6MB Cache, 4 Cores","14"" Full HD LED Backlit Anti-Glare IPS Touchscreen Display",8GB DDR4,256GB PCIe NVMe M.2,SSD,,"Intel Dual Band Wireless-AC, Bluetooth V4.2",720p HD Camera with ThinkShutter,SD Card Reader,"3 Cell Li-ion Battery, 3 Hours Backup",Standard Notebook Keyboard,Windows,"13.25 x 9.15 x .078""",1.58Kg,Lenovo Thinkpad,,Dolby Audio Premium,,,,,
HP ZBook 14U G6 Core i5 8th Gen 256GB SSD Laptop,"৳ 33,999",Khan Gadget,ElephantRoad,01974122755,Used Laptop,HP,Used,Standard,Intel Core i5-8250U 8th Generation,"Base Speed 1.6 GHz, Boost up to 3.4 GHz, 8MB Cache","14"" diagonal FHD IPS eDP Anti-Glare LED-Backlit",8GB DDR4 2400MHz,256GB,SSD,Intel UHD Graphics 620,"Intel Dual Band Wireless-AC 9560 802.11ac (2x2) Wi-Fi and Bluetooth 5 Combo, vPro",720p HD webcam with IR,Integrated Smart Card Reader,3-Cell 46 Whr,HP Collaboration Keyboard Spill-Resistant,Windows,326.0 x 234.3 x 17.9 mm,1.48 Kg,HP ZBook,Chipset integrated with processor,"Bang & Olufsen Audio, Duel Stereo Speaker",N/A,,,,
